Borough,Camden
Major Category,Violence Against the Person
LSOA,E01000863
Time,DataOriginal
2010-04-01,1352.26504394861
2010-05-01,1183.23191345504
2010-06-01,777.552400270453
2010-07-01,709.939148073022
2010-08-01,1115.61866125761
2010-09-01,777.552400270453
2010-10-01,1217.03853955375
2010-11-01,845.165652467884
2010-12-01,642.325895875592
2011-01-01,709.939148073022
2011-02-01,912.778904665314
2011-03-01,743.745774171738
2011-04-01,676.132521974307
2011-05-01,946.58553076403
2011-06-01,878.972278566599
2011-07-01,1014.19878296146
2011-08-01,743.745774171738
2011-09-01,1419.87829614604
2011-10-01,1555.10480054091
2011-11-01,845.165652467884
2011-12-01,845.165652467884
2012-01-01,507.09939148073
2012-02-01,811.359026369168
2012-03-01,1183.23191345504
2012-04-01,777.552400270453
2012-05-01,676.132521974307
2012-06-01,946.58553076403
2012-07-01,709.939148073022
2012-08-01,743.745774171738
2012-09-01,743.745774171738
2012-10-01,845.165652467884
2012-11-01,709.939148073022
2012-12-01,439.4861392833
2013-01-01,642.325895875592
2013-02-01,777.552400270453
2013-03-01,980.392156862745
2013-04-01,709.939148073022
2013-05-01,405.679513184584
2013-06-01,608.519269776876
2013-07-01,574.712643678161
2013-08-01,811.359026369168
2013-09-01,473.292765382015
2013-10-01,439.4861392833
2013-11-01,507.09939148073
2013-12-01,540.906017579446
2014-01-01,540.906017579446
2014-02-01,777.552400270453
2014-03-01,743.745774171738
2014-04-01,473.292765382015
2014-05-01,878.972278566599
2014-06-01,574.712643678161
2014-07-01,709.939148073022
2014-08-01,608.519269776876
2014-09-01,676.132521974307
2014-10-01,777.552400270453
2014-11-01,1048.00540906018
2014-12-01,912.778904665314
2015-01-01,507.09939148073
2015-02-01,1217.03853955375
2015-03-01,676.132521974307
2015-04-01,1048.00540906018
2015-05-01,946.58553076403
2015-06-01,980.392156862745
2015-07-01,811.359026369168
2015-08-01,1183.23191345504
2015-09-01,878.972278566599
2015-10-01,1081.81203515889
2015-11-01,980.392156862745
2015-12-01,1115.61866125761
2016-01-01,1352.26504394861
2016-02-01,912.778904665314
2016-03-01,845.165652467884
2016-04-01,1081.81203515889
2016-05-01,1622.71805273834
2016-06-01,878.972278566599
2016-07-01,1453.68492224476
2016-08-01,1183.23191345504
2016-09-01,1183.23191345504
2016-10-01,1318.4584178499
2016-11-01,507.09939148073
2016-12-01,1183.23191345504
2017-01-01,709.939148073022
2017-02-01,540.906017579446
2017-03-01,676.132521974307
2017-04-01,1622.71805273834
2017-05-01,1149.42528735632
2017-06-01,1487.49154834348
2017-07-01,743.745774171738
2017-08-01,1487.49154834348
2017-09-01,1217.03853955375
2017-10-01,1859.36443542934
2017-11-01,1115.61866125761
2017-12-01,1419.87829614604
2018-01-01,1521.29817444219
2018-02-01,642.325895875592
2018-03-01,811.359026369168
2018-04-01,1453.68492224476
2018-05-01,1115.61866125761
2018-06-01,1318.4584178499
2018-07-01,1521.29817444219
2018-08-01,1183.23191345504
2018-09-01,1115.61866125761
2018-10-01,878.972278566599
2018-11-01,1318.4584178499
2018-12-01,1284.65179175118
2019-01-01,980.392156862745
2019-02-01,1048.00540906018
2019-03-01,878.972278566599
2019-04-01,912.778904665314
2019-05-01,1217.03853955375
2019-06-01,1690.33130493577
2019-07-01,743.745774171738
2019-08-01,1352.26504394861
2019-09-01,1386.07167004733
2019-10-01,946.58553076403
2019-11-01,980.392156862745
2019-12-01,912.778904665314
2020-01-01,912.778904665314
2020-02-01,912.778904665314
2020-03-01,1149.42528735632
2020-04-01,405.679513184584
2020-05-01,439.4861392833
2020-06-01,405.679513184584
2020-07-01,845.165652467884
2020-08-01,845.165652467884
2020-09-01,1048.00540906018
2020-10-01,709.939148073022
2020-11-01,540.906017579446
2020-12-01,507.09939148073
2021-01-01,202.839756592292
2021-02-01,270.453008789723
2021-03-01,338.066260987154
2021-04-01,912.778904665314
2021-05-01,811.359026369168
2021-06-01,1014.19878296146
2021-07-01,1217.03853955375
2021-08-01,676.132521974307
2021-09-01,1115.61866125761
2021-10-01,1250.84516565247
2021-11-01,878.972278566599
2021-12-01,1352.26504394861
2022-01-01,1318.4584178499
2022-02-01,1081.81203515889
2022-03-01,1183.23191345504
2022-04-01,845.165652467884
2022-05-01,1284.65179175118
2022-06-01,1318.4584178499
2022-07-01,946.58553076403
2022-08-01,1115.61866125761
2022-09-01,405.679513184584
2022-10-01,980.392156862745
2022-11-01,1250.84516565247
2022-12-01,777.552400270453
2023-01-01,709.939148073022
2023-02-01,777.552400270453
2023-03-01,1014.19878296146
2023-04-01,1555.10480054091
2023-05-01,1453.68492224476
2023-06-01,1183.23191345504
2023-07-01,1453.68492224476
2023-08-01,1081.81203515889
2023-09-01,1453.68492224476
2023-10-01,1183.23191345504
2023-11-01,1115.61866125761
2023-12-01,1487.49154834348
2024-01-01,1284.65179175118
2024-02-01,777.552400270453
2024-03-01,1250.84516565247
2024-04-01,878.972278566599
2024-05-01,1250.84516565247
